Animal,size,symmetry,circularity
Orbium unicaudatus,222,0.9065743944636678,0.32911848428506607
Orbium unicaudatus ignis,198,0.9389312977099237,0.44718221954790566
Orbium bicaudatus,201,0.8913857677902621,0.20541570260148692
Orbium bicaudatus ignis,179,0.9224489795918367,0.5007576626753627
Gyrorbium gyrans,253,0.819620253164557,0.29156256076381215
Gyrorbium labans,235,0.8340425531914893,0.28216201842632693
Vagorbium vagus,699,0.912568306010929,0.12984876256370184
Synorbium,398,0.9282511210762332,0.25490092975814904
Tetrasynorbium?,3131,0.9306688417618271,0.14952714068511305
Parorbium dividuus,534,0.9281045751633987,0.0860115080114108
Parorbium dividuus pedes,383,0.9230769230769231,0.18410266123834348
Parorbium adhaerens,607,0.9546247818499127,0.11361164692690616
Triorbium(?),2236,0.8449744463373083,0.1061714536448507
Scutium solidus,241,0.9407407407407408,0.17548887117823034
Scutium valvatus,271,0.8945686900958466,0.12191609303223877
Scutium serratus fluens,257,0.9405940594059405,0.16569978763693893
Scutium serratus vagus,159,0.9468085106382979,0.12793315047216897
Scutium serratus saliens,484,0.9656419529837251,0.08172343160466311
Scutium serratus solidus,264,0.9617834394904459,0.17771050283257614
Scutium serratus fluens,257,0.9405940594059405,0.16569978763693893
Scutium serratus fluens,257,0.9405940594059405,0.16569978763693893
Discutium solidus,489,0.9752577319587629,0.10822109853926226
Discutium valvatus,494,0.9754601226993865,0.09876108276628486
Discutium serratus,453,0.9372384937238494,0.08615409832835358
Discutium serratus,453,0.9372384937238494,0.08615409832835358
Triscutium solidus,742,0.9901408450704225,0.036383315700553684
Triscutium valvatus centrale,655,0.9711538461538461,0.07415427945351033
Triscutium valvatus laterale,653,0.9586776859504132,0.06299629913252269
Triscutium serratus valvatus centrale,675,0.9598603839441536,0.06397649948321162
Triscutium serratus valvatus laterale,642,0.9424083769633508,0.06533068795654119
Tetrascutium solidus,1021,0.9784580498866213,0.034261238017639355
Tetrascutium valvatus,916,0.9670487106017192,0.03568519644803545
Pentascutium solidus,1208,0.9767441860465116,0.026566134951197848
Pentascutium valvatus,1194,0.9772972972972973,0.023978215190233194
Hexascutium,1513,0.9781221513217867,0.024305803787136288
Heptascutium,1854,0.9736111111111111,0.028879200737977152
Octascutium,2237,0.9697986577181208,0.024817620817116116
Octascutium obliquus,2349,0.9611699445284921,0.02024746909519446
Nonascutium,2533,0.9786455155582673,0.01807832221828099
Decascutium,2852,0.9731379731379731,0.014638672599714183
Dodecascutium,3457,0.9730021598272138,0.014797343055362002
Tetradecascutium,4037,0.9763969171483622,0.009712616342063607
Tetracosascutium,6884,0.9593675307961023,0.007002111440463881
Catenoscutium bidirectus,344,1.0,0.14078781685108135
Gyropteron arcus,316,0.926829268292683,0.13949230276002741
Gyropteron cavus,281,0.8926380368098159,0.22718691162880172
Gyropteron serratus velox,350,0.8888888888888888,0.14153475006455385
Gyropteron serratus turbulentus,303,0.9080779944289693,0.22245362693729184
Gyropteron serratus velox,350,0.8888888888888888,0.14153475006455385
Gyropteron serratus velox,350,0.8888888888888888,0.14153475006455385
Synptera cavus saliens,506,0.9569707401032702,0.11566065726344421
Synptera cavus pedes,556,0.9010654490106544,0.1346330745978269
Synptera sinus pedes,508,0.8987341772151899,0.24615248756063146
Pyroscutium arcus pedes,589,0.9461663947797716,0.08242898467915015
Pyroscutium ambiguus,568,0.94824016563147,0.07262456553474249
Synptera serratus arcus pedes,627,0.8718929254302104,0.08116944549034914
Synptera serratus cavus labens,609,0.950381679389313,0.20057852589125322
Synptera serratus cavus saliens,513,0.9514348785871964,0.1375121024035307
Synptera serratus sinus labens,515,0.9173693086003373,0.1739206762818623
Synptera serratus sinus pedes,626,0.9408672798948752,0.11823482017556651
Pyroscutium ambiguus serratus,716,0.9559939301972686,0.07464855283187885
Paraptera arcus labens,779,0.9647519582245431,0.05349016248843807
Paraptera arcus saliens,812,0.9637952559300874,0.08752488599782664
Paraptera arcus saliens ignis,656,0.9646017699115044,0.11200223495343536
Paraptera arcus pedes,907,0.9498886414253898,0.05881158038736297
Paraptera cavus labens,686,0.9678407350689127,0.09830683454457495
Paraptera cavus salien,592,0.9546875,0.12410345460899502
Paraptera cavus pedes,669,0.9424242424242424,0.09813861367612492
Paraptera cavus furiosus,633,0.9487179487179487,0.11935575377444503
Paraptera orbis pedes,623,0.9391304347826087,0.13185212684043057
Paraptera orbis furiosus,578,0.9507246376811594,0.08995442920136786
Paraptera sinus labens,668,0.926490984743412,0.09635248092826912
Paraptera sinus pedes,630,0.8922558922558923,0.08185338311749933
Paraptera ambiguus,846,0.9541029207232267,0.05004200940177369
Paraptera serratus arcus saliens,790,0.9594755661501788,0.08523892644557349
Pentapteryx arcus labens,1032,0.9599109131403119,0.04495263211772487
Pentapteryx arcus saliens,1147,0.951271186440678,0.0561332811995215
Pentapteryx arcus pedes,1172,0.9132290184921764,0.07162645522173866
Pentapteryx cavus labens,854,0.9574468085106383,0.08958405709613955
Pentapteryx cavus saliens,890,0.9609375,0.09362712986012359
Pentapteryx cavus pedes,957,0.9556886227544911,0.08815689532860835
Pentapteryx cavus furiosus,787,0.9569313593539704,0.11592499169619915
Pentapteryx arcus valvatus,1070,0.9691428571428572,0.030300953490634063
Pentapteryx serratus cavus labens,961,0.9539078156312625,0.07556651799388897
Hexapteryx arcus labens,1341,0.9754322111010009,0.034877063152804144
Hexapteryx cavus labens,1015,0.9413173652694611,0.06889677969759397
Hexapteryx serratus cavus labens,1207,0.9739368998628258,0.0694053878968885
Heptapteryx arcus labens,1516,0.9704545454545455,0.042760922061299715
Heptapteryx cavus labens,1168,0.9612403100775194,0.07047627358407454
Heptapteryx cavus labens cunctans,1128,0.9583333333333334,0.055218909671920426
Heptapteryx serratus cavus labens,1407,0.9489685124864278,0.05696527440489882
Heptapteryx serratus liquefaciens,1262,0.9349269588313412,0.060112146313184116
Octapteryx arcus labens,1735,0.9561128526645768,0.0423845078727974
Octapteryx cavus labens,1325,0.9603960396039604,0.06463143794304624
Octapteryx serratus cavus labens,1638,0.9611231101511879,0.04760487226610658
Nonapteryx arcus labens,1969,0.9676656151419558,0.034694731737658496
Nonapteryx cavus labens,1582,0.9487179487179487,0.056142493363558664
Nonapteryx serratus cavus labens,1953,0.968833481745325,0.03327166245314415
Nonapteryx serratus sinus labens,1815,0.9118150684931506,0.04023411085254622
Decapteryx arcus labens,2272,0.9576453697056713,0.03711123719843104
Decapteryx cavus labens,1765,0.955177743431221,0.04683614668914327
Decapteryx serratus sinus labens,2268,0.9746657283603096,0.026320516982470947
Tridecapteryx arcus valvatus,3017,0.971185640056684,0.019132948457171204
Tetracosapteryx arcus labens,5297,0.9407582938388626,0.017789827722694933
Tetracosapteryx cavus labens,4155,0.9654515778019587,0.02390385588975595
Hexacaudopteryx,1691,0.9694348327566321,0.19012607675885548
Hexacaudopteryx serratus cavus labens,1437,0.9361344537815126,0.10221102318277865
Octacaudopteryx serratus cavus labens,1814,0.9413287316652287,0.055595656375819286
Decacaudopteryx serratus sinus labens,2319,0.962640099626401,0.03387254927255999
Catenopteryx cyclon,694,0.9102564102564102,0.26337913193723345
Catenopteryx cyclon scutoides,848,0.9803108808290155,0.3449760683648507
Catenopteryx cinguli,4594,0.8794642857142857,0.05591078859529552
Catenopteryx serratus cinguli,2312,0.9387254901960784,0.037769364693084166
Helicium solidus,657,0.8855263157894737,0.1092840496474529
Helicium arcus saliens,578,0.8609865470852018,0.1268390698243065
Helicium arcus saliens ignis,642,0.8770053475935828,0.2201742242130231
Helicium arcus pedes,601,0.8644793152639088,0.13920509170528672
Helicium cavus pedes,507,0.8589951377633711,0.18782501826154285
Helicium serratus ocellus,608,0.8519040902679831,0.1350932353158941
Helicium serratus velox,600,0.8913043478260869,0.17323161438269008
Helicium serratus turbulentus,607,0.8746594005449592,0.13461564419537378
Helicium serratus turbulentus,607,0.8746594005449592,0.13461564419537378
Helicium serratus turbulentus,607,0.8746594005449592,0.13461564419537378
Pentahelicium solidus,925,0.827027027027027,0.07998030906750972
Pentahelicium ignis,972,0.6766519823788546,0.07435711480531408
Pentahelicium serratus limus,1035,0.8122529644268774,0.08534712971694514
Heptahelicium solidus,1556,0.7970540098199672,0.03205283348016303
Heptahelicium ignis,1611,0.665359477124183,0.036236851755153475
Heptahelicium serratus limus,1522,0.7896341463414634,0.04746576209878966
Nonahelicium solidus,2419,0.4456157163392429,0.018011544967694675
Nonahelicium ignis,2068,0.38008827856792543,0.028929780291268123
Nonahelicium serratus,1890,0.8252427184466019,0.034821933187680884
Tetrahelicium(?),960,0.7358834244080146,0.05852761570446209
Tetrahelicium serratus,732,0.8207547169811321,0.1000292288914852
Tetrahelicium serratus fractus,714,0.8357142857142857,0.08756999423358469
Tetrahelicium serratus turbulentus,700,0.8240963855421687,0.10568690344421329
Hexahelicium solidus,1272,0.7426470588235294,0.04650850057615984
Hexahelicium ignis,1290,0.6144927536231884,0.0528840888970556
Hexahelicium serratus,1217,0.8641304347826086,0.060463179885484636
Octahelicium,1790,0.78239608801956,0.033290618674629
Octahelicium serratus,1948,0.8444444444444444,0.03162291614523614
Decahelicium,2424,0.6235138705416117,0.020333510950178244
Decahelicium serratus,2412,0.8348909657320872,0.02768767873371728
Dodecahelicium limus,2790,0.6995305164319249,0.01796804762361371
Catenohelicium monospirae,1566,0.5845110231769362,0.04535446531022254
Catenohelicium bispirae vacuoides,1094,0.8614718614718615,0.04723781366377633
Catenohelicium bispirae scutoides,1140,0.8433333333333334,0.03509439432917358
Circium lithos apertus,66,1.0,1.908987347133306
Circium lithos opertus,256,1.0,0.0
Circium ventilans,188,1.0,0.009673886833936102
Circium ventilans tenuis,60,1.0,1.332828266220388
Circium ventilans lateralis,133,0.9806451612903225,0.617307553744144
Circium ventilans scintillans,119,0.9929078014184397,0.13142993376716433
Circium ventilans cumulans,120,1.0,0.0
Circium rupturus,120,0.9597989949748744,1.7052516427789521
Discutium pachus,607,1.0,0.0649394629409264
Trihelicium pachus,653,0.9209809264305178,0.1716760836378309
max-fleet,6575,0.7612239444147515,0.007860848827816083
Aerogeminium volitans,859,0.9461077844311377,0.244313224204041
Aerogeminium ambiguus,920,0.897196261682243,0.18084317345201065
Aerogeminium quietus,853,0.9524861878453039,0.2844343483830483
Aerogeminium labens,612,1.0,0.305986740877578
Hydrogeminium limus,823,0.8952991452991453,0.24019273157952395
Hydrogeminium natans,1003,0.8480300187617261,0.19629546825558059
Hydrogeminium labens,934,0.9440175631174533,0.2799149239693693
Spinogeminium solidus,507,0.9291882556131261,0.20900574495075377
Spinogeminium limus,469,0.8960396039603961,0.18137484714114638
Gyrogeminium velox,1193,0.7903225806451613,0.13367706648784133
Gyrogeminium tardus,1112,0.9068219633943427,0.13252941235231205
Gyrogeminium serratus,1139,0.8266666666666667,0.08635268562851703
Circogeminium ventilans,1392,0.9452137266706803,0.36704332371430515
Kronium solidus,322,0.9526184538653366,0.25093288698721516
Kronium tardus,319,0.9765013054830287,0.28955414299346194
Kronium vagus,332,0.9582309582309583,0.2775398226957906
Kronium saliens,377,0.972972972972973,0.3352656733655897
Kronium limus,489,0.9078260869565218,0.2673036901345786
Kronium dividuus,385,0.9431578947368421,0.20434210511580692
Kronium solidus,322,0.9526184538653366,0.25093288698721516
Kronium solidus,322,0.9526184538653366,0.25093288698721516
Kronium saliens,377,0.972972972972973,0.3352656733655897
Gyrokronium,355,0.929384965831435,0.22947866914218693
Argentokronium,403,0.9648711943793911,0.1996756525131555
Ferrokronium solidus,484,0.9382716049382716,0.11059125350641516
Ferrokronium valvatus centrale,470,0.9386281588447654,0.20977214569712913
Ferrokronium valvatus laterale,476,0.9515260323159784,0.24905073652283352
Ferrokronium tardus,498,0.963855421686747,0.15640643743730456
Ferrokronium circularis,447,0.9753914988814317,0.4672956272816207
Ferrokronium solidus,484,0.9382716049382716,0.11059125350641516
Ferrokronium saliens,475,0.9782608695652174,0.1633349120946371
Aurokronium arcus,546,0.9082278481012658,0.27153955042324457
Aurokronium cavus,452,0.9111111111111111,0.2752052384142608
Synkronium arcus,602,0.9561270801815431,0.23503467043342632
Synkronium cavus,546,0.9467455621301775,0.2632886715000682
Florakronium arcus,654,0.9638932496075353,0.1683336707219849
Florakronium cavus,576,0.9378330373001776,0.17255399805483979
Allikronium,746,0.9369158878504673,0.18538837700884672
Parakronium arcus,732,0.9012987012987013,0.22040843852624495
Parakronium cavus,718,0.9364161849710982,0.21831890227877548
Pentakronium arcus,903,0.9374288964732651,0.22394656844220517
Pentakronium cavus,858,0.939540507859734,0.1887708917859948
Hexakronium arcus,1037,0.9516765285996055,0.1908262774915146
Hexakronium cavus,879,0.9356321839080459,0.1578373490911397
Heptakronium arcus,1187,0.9335106382978723,0.15836552303980964
Tetracaudokronium cavus,787,0.9196217494089834,0.2832058553026001
Pentacaudokronium cavus,889,0.9273127753303965,0.24599195567271218
Hexacaudokronium cavus,1034,0.8854166666666666,0.21321865235596202
Catenokronium cinguli,2008,0.8774703557312253,0.12771685832278998
Tetravolvium,423,0.846441947565543,0.3973658522499677
Hexavolvium,628,0.8521505376344086,0.2973921435520224
Hexavolvium resiliens,689,0.9240963855421687,0.20649470096156655
Hexavolvium ulterior,635,0.9202127659574468,0.23746850710069098
Crucium arcus,742,0.9284064665127021,0.3345347848279415
Crucium arcus valvatus,698,0.9529702970297029,0.26626589753930785
Crucium arcus anulus,833,0.9438444924406048,0.16440019730405528
Crucium arcus vagus,592,0.9032258064516129,0.2957044598443932
Crucium arcus vagus,592,0.9032258064516129,0.2957044598443932
Crucium arcus gyrans,690,0.9236641221374046,0.31840625230721403
Crucium cavus,598,0.9442176870748299,0.3154918393748515
Crucium cavus anulus,745,0.965435041716329,0.14612423819704717
Crucium crux,880,0.9732234809474768,0.09379880035688429
Crucium crux rotans,872,0.9387550200803213,0.11492815703278028
Crucium crux ventilans,853,0.9797872340425532,0.0072555130527558135
Crucium crux ventilans,853,0.9797872340425532,0.0072555130527558135
Crucium,1643,0.9756722151088348,0.08658485397175023
Crucium,1643,0.9756722151088348,0.08658485397175023
Triradium lithos,976,0.957847533632287,0.06850996567729366
Triradium gyrans,1040,0.8981562774363476,0.04274302355006395
Triradium rotans,1129,0.9385826771653544,0.1262372227481484
Triradium ventilans,1084,0.94679186228482,0.17493627319713367
Triradium limus,1251,0.9647141848976711,0.1082163625923143
Hexaradium solidus,961,0.9443016281062554,0.2777102490937625
Hexaradium valvatus,1053,0.8788638262322472,0.3561267699318278
Hexaradium lithos,997,0.9538977367979883,0.7222057182234702
Tetrastrium rotans,1089,0.7564385577630611,0.3354782705325823
Astrium solidus,1043,0.8837606837606837,0.14500960652180322
Astrium limus,954,0.8212728857890148,0.18958884886454416
Astrium rotans,961,0.8241206030150754,0.18121209679091219
Astrium scintillans,1357,0.9463087248322147,0.10066382062092082
Astrium inversus,1316,1.0,0.06260747242248477
Astrium reversus,1218,0.9057437407952872,0.10576401226212803
Astrium solidus,1043,0.8837606837606837,0.14500960652180322
Astrium currens,1443,0.8188745603751465,0.19514353432685447
Astrium rotans,961,0.8241206030150754,0.18121209679091219
Astrium rotans,961,0.8241206030150754,0.18121209679091219
Astrium nausia,1630,0.8855,0.13300875737784126
Hexastrium,762,0.9144602851323829,0.21726940671567319
Hexastrium rotans,1057,0.8414442700156985,0.3078795717792942
Hexastrium,762,0.9144602851323829,0.21726940671567319
Quadrium solidus,976,0.8904214559386974,0.3222903148930321
Quadrium minus,835,0.91005291005291,0.334119333446602
Quadrium gyrans,1099,0.8763523956723338,0.37223039351329396
Quadrium vagus,892,0.8603712671509282,0.14796061224223764
Cumulocircium lithos,158,0.9748743718592965,1.0333121136381798
Cumulocircium scintillans,2290,0.9956331877729258,0.47154677062518047
Cumulocircium scintillans,2290,0.9956331877729258,0.47154677062518047
Cumulocircium lithos,158,0.9748743718592965,1.0333121136381798
Cumulocircium scintillans,2290,0.9956331877729258,0.47154677062518047
Cumulocircium lithos,158,0.9748743718592965,1.0333121136381798
Dicircium inversus,336,0.9797979797979798,0.14574581855769153
Dicircium rotans,285,0.9814814814814815,0.1413108782643115
Dicircium limus,310,0.9746478873239437,0.2055367494789897
Tricircium inversus,284,0.973293768545994,0.28056869190921385
Tricircium rotans,321,0.9808219178082191,0.15853047906409165
Tricircium torquens,265,0.9389067524115756,0.17629387233773416
Tricircium vagus,286,0.9878787878787879,0.3782122037524855
Tricircium rotans,321,0.9808219178082191,0.15853047906409165
Tetrcircium torquens,255,0.9333333333333333,0.6925214903974612
Tetrcircium lithos,211,0.9656488549618321,0.32039141014913175
Pentcircium rotans,472,0.9184027777777778,0.2355600305785217
Pentcircium inversus,482,0.9914236706689536,0.23414285548470276
Hexcircium inversus,534,0.9806763285024155,0.20532970309827656
Heptcircium lithos,756,0.9611542730299667,0.6248053288495589
Heptcircium ventilans,705,0.9312638580931264,0.5847917455941638
Octcircium lithos,781,0.9592274678111588,0.8132250572743795
Octcircium ventilans,719,0.9477124183006536,0.22572587160527338
Deccircium lithos,646,0.9663182346109176,0.8901274153828175
Hexadentium rotans,649,0.914396887159533,0.2994350221600472
Hexadentium scintillans,499,0.8728682170542635,0.27697820455006184
Hexadentium torquens,502,0.9228187919463087,0.40991610940945605
Heptadentium rotans,763,0.9340782122905028,0.3200536775438108
Heptadentium scintillans,600,0.8877419354838709,0.2945495928205619
Octadentium rotans,891,0.9147571035747021,0.208076046349994
Octadentium scintillans,808,0.906930693069307,0.26477254473846945
Octadentium alternatus,760,0.9020833333333333,0.24332756805820763
Nonadentium rotans,1031,0.8966876971608833,0.16987191947880123
Decadentium rotans bioculi,1195,0.8468770987239759,0.1601449970478101
Decadentium rotans trioculi,1070,0.8805409466566492,0.23148350691520925
Decadentium rotans,1031,0.9149606299212598,0.22495240093229987
Decadentium rotans,1031,0.9149606299212598,0.22495240093229987
Decadentium vagus,851,0.8309859154929577,0.2555429527288471
Decadentium volubilis,862,0.8552631578947368,0.24415761237345124
Undecadentium rotans,1060,0.9003861003861003,0.30989232225336144
Undecadentium scintillans,1019,0.8837944664031621,0.3477005990804822
Dodecadentium rotans,1320,0.9288860918816866,0.31227129715632806
Dodecadentium scintillans,1160,0.8808362369337979,0.28030666687932265
Dodecadentium nausia,1402,0.8612099644128114,0.08785068704058466
Tridecadentium rotans,1293,0.9038340666247643,0.26465180464752713
Bifolium lithos,538,0.9654088050314465,0.6979596353513997
Bifolium lithos limus,487,0.9605488850771869,0.4615347385420445
Tetrafolium lithos,602,0.9647390691114246,0.6440143118733312
Pentafolium lithos,332,0.9466292134831461,0.20049412705060593
Pentafolium incarceratus,388,0.8450980392156863,0.05788120091226484
Pentafolium incarceratus,388,0.8450980392156863,0.05788120091226484
Hexafolium incarceratus,552,0.7969821673525377,0.06858087762854635
Octafolium lithos,586,0.9384615384615385,0.16354438473394883
Octafolium lithos limus,669,0.8968553459119497,0.16695098914604775
Octafolium tardus,1068,0.9762100082034455,0.42610716737815246
Octafolium lithos,586,0.9384615384615385,0.16354438473394883
Dodecafolium lithos,986,0.965,0.12491718925317649
Dodecafolium ventilans,1323,0.9614187927815806,0.09868948001406315
Heptafolium nausia,936,0.8786677240285488,0.5627106695516707
Nonafolium lithos,715,0.8980537534754403,0.45720878384933766
Nonafolium rotans,1043,0.8941877794336811,0.4235532758156801
Dodecafolium lithos,986,0.965,0.12491718925317649
Tridecafolium lithos,1425,0.9235294117647059,0.33964662186752553
Bug (smaller),213,0.937984496124031,0.2535461155683907
Bug (bigger),861,0.9448491155046826,0.21572143996482365
